ID,Name,Food Group,Calories,Fat (g),Protein (g),Carbohydrate (g),Sugars (g),Fiber (g),Cholesterol (mg),Veg/Non-Veg
168001,Butter Chicken,Indian Foods,490,26,35,30,6,2,70,Non-Veg
168002,Paneer Butter Masala,Indian Foods,425,22,15,32,7,3,40,Veg
168003,Chicken Biryani,Indian Foods,550,22,30,55,6,3,60,Non-Veg
168004,Shahi Paneer,Indian Foods,450,24,18,30,6,3,35,Veg
168005,Malai Kofta,Indian Foods,460,28,12,35,8,4,40,Veg
168006,Ghee Rice,Indian Foods,390,18,5,50,2,1,10,Veg
168007,Lamb Rogan Josh,Indian Foods,520,28,40,25,4,2,75,Non-Veg
168008,Poori with Aloo,Indian Foods,350,20,6,45,4,4,15,Veg
168009,Rajma Chawal,Indian Foods,380,10,14,60,6,8,5,Veg
168010,Pav Bhaji,Indian Foods,450,22,7,55,8,5,15,Veg
168011,Mutton Korma,Indian Foods,580,35,32,25,4,3,80,Non-Veg
168012,Hyderabadi Biryani,Indian Foods,600,28,35,60,7,4,65,Non-Veg
168013,Lassi,Indian Foods,240,10,6,30,20,0,15,Veg
168014,Kesar Pista Kulfi,Indian Foods,300,18,7,25,20,0,25,Veg
168015,Chole Bhature,Indian Foods,500,20,16,65,8,6,30,Veg
168016,Paratha with Butter,Indian Foods,400,22,7,50,5,6,20,Veg
168017,Masala Dosa with Butter,Indian Foods,400,18,7,55,5,4,5,Veg
168018,Poori with Chana,Indian Foods,380,20,8,45,5,5,20,Veg
168019,Gajar Halwa,Indian Foods,350,18,5,45,25,3,35,Veg
168020,Gulab Jamun,Indian Foods,350,12,4,55,35,0,30,Veg
168021,Jalebi,Indian Foods,400,15,3,65,45,0,5,Veg
168022,Rasgulla,Indian Foods,200,6,5,30,25,0,5,Veg
168023,Dal Makhani,Indian Foods,350,18,12,40,6,10,30,Veg
168024,Pesarattu,Indian Foods,320,14,9,40,4,5,10,Veg
168025,Paneer Parantha,Indian Foods,400,22,12,50,5,7,15,Veg
168026,Aloo Parantha,Indian Foods,360,16,7,45,4,5,10,Veg
168027,Nihari,Indian Foods,600,35,40,25,6,3,85,Non-Veg
168028,Seviyan Kheer,Indian Foods,320,14,6,45,25,1,15,Veg
